movieId,title,genres,release_year,primary_genre,secondary_genre,imdbId,tmdbId,movielens_url,imdb_url,tmdb_url,average_rating,consolidated_tags
13,Balto,Adventure Animation Children,1995,Children,Animation,112453,21032,https://movielens.org/movies/13,http://www.imdb.com/title/tt0112453/,https://www.themoviedb.org/movie/21032,3.12,
14,Nixon,Drama,1995,Drama,N/A,113987,10858,https://movielens.org/movies/14,http://www.imdb.com/title/tt0113987/,https://www.themoviedb.org/movie/10858,3.83,politics president
15,Cutthroat Island,Action Adventure Romance,1995,Romance,Adventure,112760,1408,https://movielens.org/movies/15,http://www.imdb.com/title/tt0112760/,https://www.themoviedb.org/movie/1408,3.0,
16,Casino,Crime Drama,1995,Drama,Crime,112641,524,https://movielens.org/movies/16,http://www.imdb.com/title/tt0112641/,https://www.themoviedb.org/movie/524,3.93,Mafia
17,Sense and Sensibility,Drama Romance,1995,Romance,Drama,114388,4584,https://movielens.org/movies/17,http://www.imdb.com/title/tt0114388/,https://www.themoviedb.org/movie/4584,3.78,Jane Austen
18,Four Rooms,Comedy,1995,Comedy,N/A,113101,5,https://movielens.org/movies/18,http://www.imdb.com/title/tt0113101/,https://www.themoviedb.org/movie/5,3.7,
19,Ace Ventura: When Nature Calls,Comedy,1995,Comedy,N/A,112281,9273,https://movielens.org/movies/19,http://www.imdb.com/title/tt0112281/,https://www.themoviedb.org/movie/9273,2.73,
20,Money Train,Action Comedy Crime Drama Thriller,1995,Thriller,Drama,113845,11517,https://movielens.org/movies/20,http://www.imdb.com/title/tt0113845/,https://www.themoviedb.org/movie/11517,2.5,
21,Get Shorty,Comedy Crime Thriller,1995,Thriller,Crime,113161,8012,https://movielens.org/movies/21,http://www.imdb.com/title/tt0113161/,https://www.themoviedb.org/movie/8012,3.49,Hollywood
22,Copycat,Crime Drama Horror Mystery Thriller,1995,Thriller,Mystery,112722,1710,https://movielens.org/movies/22,http://www.imdb.com/title/tt0112722/,https://www.themoviedb.org/movie/1710,3.22,serial killer
23,Assassins,Action Crime Thriller,1995,Thriller,Crime,112401,9691,https://movielens.org/movies/23,http://www.imdb.com/title/tt0112401/,https://www.themoviedb.org/movie/9691,3.12,
24,Powder,Drama Sci-Fi,1995,Sci-Fi,Drama,114168,12665,https://movielens.org/movies/24,http://www.imdb.com/title/tt0114168/,https://www.themoviedb.org/movie/12665,3.12,
25,Leaving Las Vegas,Drama Romance,1995,Romance,Drama,113627,451,https://movielens.org/movies/25,http://www.imdb.com/title/tt0113627/,https://www.themoviedb.org/movie/451,3.62,alcoholism
26,Othello,Drama,1995,Drama,N/A,114057,16420,https://movielens.org/movies/26,http://www.imdb.com/title/tt0114057/,https://www.themoviedb.org/movie/16420,3.5,Shakespeare
27,Now and Then,Children Drama,1995,Drama,Children,114011,9263,https://movielens.org/movies/27,http://www.imdb.com/title/tt0114011/,https://www.themoviedb.org/movie/9263,3.33,
28,Persuasion,Drama Romance,1995,Romance,Drama,114117,17015,https://movielens.org/movies/28,http://www.imdb.com/title/tt0114117/,https://www.themoviedb.org/movie/17015,4.23,In Netflix queue Jane Austen
29,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure Drama Fantasy Mystery Sci-Fi,1995,Sci-Fi,Mystery,112682,902,https://movielens.org/movies/29,http://www.imdb.com/title/tt0112682/,https://www.themoviedb.org/movie/902,4.01,kidnapping
30,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime Drama,1995,Drama,Crime,115012,37557,https://movielens.org/movies/30,http://www.imdb.com/title/tt0115012/,https://www.themoviedb.org/movie/37557,3.0,
31,Dangerous Minds,Drama,1995,Drama,N/A,112792,9909,https://movielens.org/movies/31,http://www.imdb.com/title/tt0112792/,https://www.themoviedb.org/movie/9909,3.18,high school teacher
32,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery Sci-Fi Thriller,1995,Thriller,Sci-Fi,114746,63,https://movielens.org/movies/32,http://www.imdb.com/title/tt0114746/,https://www.themoviedb.org/movie/63,3.98,time travel Brad Pitt Bruce Willis mindfuck Post apocalyptic post-apocalyptic remake twist ending
34,Babe,Children Drama,1995,Drama,Children,112431,9598,https://movielens.org/movies/34,http://www.imdb.com/title/tt0112431/,https://www.themoviedb.org/movie/9598,3.65,Animal movie pigs villain nonexistent or not needed for good story
36,Dead Man Walking,Crime Drama,1995,Drama,Crime,112818,687,https://movielens.org/movies/36,http://www.imdb.com/title/tt0112818/,https://www.themoviedb.org/movie/687,3.84,death penalty Nun
38,It Takes Two,Children Comedy,1995,Comedy,Children,113442,33689,https://movielens.org/movies/38,http://www.imdb.com/title/tt0113442/,https://www.themoviedb.org/movie/33689,2.12,twins
39,Clueless,Comedy Romance,1995,Romance,Comedy,112697,9603,https://movielens.org/movies/39,http://www.imdb.com/title/tt0112697/,https://www.themoviedb.org/movie/9603,3.29,chick flick funny Paul Rudd quotable seen more than once Emma Jane Austen
40,"Cry, the Beloved Country",Drama,1995,Drama,N/A,112749,34615,https://movielens.org/movies/40,http://www.imdb.com/title/tt0112749/,https://www.themoviedb.org/movie/34615,4.25,In Netflix queue South Africa
41,Richard III,Drama War,1995,War,Drama,114279,31174,https://movielens.org/movies/41,http://www.imdb.com/title/tt0114279/,https://www.themoviedb.org/movie/31174,3.7,Shakespeare
42,Dead Presidents,Action Crime Drama,1995,Drama,Crime,112819,11443,https://movielens.org/movies/42,http://www.imdb.com/title/tt0112819/,https://www.themoviedb.org/movie/11443,3.0,
43,Restoration,Drama,1995,Drama,N/A,114272,35196,https://movielens.org/movies/43,http://www.imdb.com/title/tt0114272/,https://www.themoviedb.org/movie/35196,3.19,England
44,Mortal Kombat,Action Adventure Fantasy,1995,Fantasy,Adventure,113855,9312,https://movielens.org/movies/44,http://www.imdb.com/title/tt0113855/,https://www.themoviedb.org/movie/9312,2.54,
45,To Die For,Comedy Drama Thriller,1995,Thriller,Drama,114681,577,https://movielens.org/movies/45,http://www.imdb.com/title/tt0114681/,https://www.themoviedb.org/movie/577,3.31,Journalism
46,How to Make an American Quilt,Drama Romance,1995,Romance,Drama,113347,11861,https://movielens.org/movies/46,http://www.imdb.com/title/tt0113347/,https://www.themoviedb.org/movie/11861,3.07,wedding
47,Seven (a.k.a. Se7en),Mystery Thriller,1995,Thriller,Mystery,114369,807,https://movielens.org/movies/47,http://www.imdb.com/title/tt0114369/,https://www.themoviedb.org/movie/807,3.98,mystery twist ending serial killer
48,Pocahontas,Animation Children Drama Musical Romance,1995,Romance,Musical,114148,10530,https://movielens.org/movies/48,http://www.imdb.com/title/tt0114148/,https://www.themoviedb.org/movie/10530,3.15,
49,When Night Is Falling,Drama Romance,1995,Romance,Drama,114916,8391,https://movielens.org/movies/49,http://www.imdb.com/title/tt0114916/,https://www.themoviedb.org/movie/8391,3.0,
50,The Usual Suspects,Crime Mystery Thriller,1995,Thriller,Mystery,114814,629,https://movielens.org/movies/50,http://www.imdb.com/title/tt0114814/,https://www.themoviedb.org/movie/629,4.24,mindfuck suspense thriller tricky twist ending heist
52,Mighty Aphrodite,Comedy Drama Romance,1995,Romance,Drama,113819,11448,https://movielens.org/movies/52,http://www.imdb.com/title/tt0113819/,https://www.themoviedb.org/movie/11448,3.46,adoption prostitution
53,Lamerica,Adventure Drama,1994,Drama,Adventure,110299,49133,https://movielens.org/movies/53,http://www.imdb.com/title/tt0110299/,https://www.themoviedb.org/movie/49133,5.0,
54,The Big Green,Children Comedy,1995,Comedy,Children,112499,26441,https://movielens.org/movies/54,http://www.imdb.com/title/tt0112499/,https://www.themoviedb.org/movie/26441,2.33,
55,Georgia,Drama,1995,Drama,N/A,113158,97406,https://movielens.org/movies/55,http://www.imdb.com/title/tt0113158/,https://www.themoviedb.org/movie/97406,4.0,
57,Home for the Holidays,Drama,1995,Drama,N/A,113321,9089,https://movielens.org/movies/57,http://www.imdb.com/title/tt0113321/,https://www.themoviedb.org/movie/9089,3.06,
58,"Postman, The (Postino, Il)",Comedy Drama Romance,1994,Romance,Drama,110877,11010,https://movielens.org/movies/58,http://www.imdb.com/title/tt0110877/,https://www.themoviedb.org/movie/11010,4.03,writing
60,The Indian in the Cupboard,Adventure Children Fantasy,1995,Fantasy,Children,113419,11359,https://movielens.org/movies/60,http://www.imdb.com/title/tt0113419/,https://www.themoviedb.org/movie/11359,3.24,
61,Eye for an Eye,Drama Thriller,1996,Thriller,Drama,116260,17182,https://movielens.org/movies/61,http://www.imdb.com/title/tt0116260/,https://www.themoviedb.org/movie/17182,3.75,
62,Mr. Holland's Opus,Drama,1995,Drama,N/A,113862,2054,https://movielens.org/movies/62,http://www.imdb.com/title/tt0113862/,https://www.themoviedb.org/movie/2054,3.71,music
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy Crime,1996,Crime,Comedy,116126,10607,https://movielens.org/movies/63,http://www.imdb.com/title/tt0116126/,https://www.themoviedb.org/movie/10607,2.71,
64,Two if by Sea,Comedy Romance,1996,Romance,Comedy,118002,19760,https://movielens.org/movies/64,http://www.imdb.com/title/tt0118002/,https://www.themoviedb.org/movie/19760,2.2,
65,Bio-Dome,Comedy,1996,Comedy,N/A,115683,9536,https://movielens.org/movies/65,http://www.imdb.com/title/tt0115683/,https://www.themoviedb.org/movie/9536,2.53,
66,Lawnmower Man 2: Beyond Cyberspace,Action Sci-Fi Thriller,1996,Thriller,Sci-Fi,116839,11525,https://movielens.org/movies/66,http://www.imdb.com/title/tt0116839/,https://www.themoviedb.org/movie/11525,2.5,
68,French Twist (Gazon maudit),Comedy Romance,1995,Romance,Comedy,113149,4482,https://movielens.org/movies/68,http://www.imdb.com/title/tt0113149/,https://www.themoviedb.org/movie/4482,3.4,
69,Friday,Comedy,1995,Comedy,N/A,113118,10634,https://movielens.org/movies/69,http://www.imdb.com/title/tt0113118/,https://www.themoviedb.org/movie/10634,3.78,
70,From Dusk Till Dawn,Action Comedy Horror Thriller,1996,Thriller,Horror,116367,755,https://movielens.org/movies/70,http://www.imdb.com/title/tt0116367/,https://www.themoviedb.org/movie/755,3.51,
71,Fair Game,Action,1995,Action,N/A,113010,11859,https://movielens.org/movies/71,http://www.imdb.com/title/tt0113010/,https://www.themoviedb.org/movie/11859,1.7,
72,Kicking and Screaming,Comedy Drama,1995,Drama,Comedy,113537,28387,https://movielens.org/movies/72,http://www.imdb.com/title/tt0113537/,https://www.themoviedb.org/movie/28387,3.21,
73,"Misérables, Les",Drama War,1995,War,Drama,113828,48750,https://movielens.org/movies/73,http://www.imdb.com/title/tt0113828/,https://www.themoviedb.org/movie/48750,3.46,
74,Bed of Roses,Drama Romance,1996,Romance,Drama,115644,20927,https://movielens.org/movies/74,http://www.imdb.com/title/tt0115644/,https://www.themoviedb.org/movie/20927,4.0,
75,Big Bully,Comedy Drama,1996,Drama,Comedy,115676,36929,https://movielens.org/movies/75,http://www.imdb.com/title/tt0115676/,https://www.themoviedb.org/movie/36929,2.2,
76,Screamers,Action Sci-Fi Thriller,1995,Thriller,Sci-Fi,114367,9102,https://movielens.org/movies/76,http://www.imdb.com/title/tt0114367/,https://www.themoviedb.org/movie/9102,3.4,
77,Nico Icon,Documentary,1995,Documentary,N/A,113973,124626,https://movielens.org/movies/77,http://www.imdb.com/title/tt0113973/,https://www.themoviedb.org/movie/124626,4.0,
78,The Crossing Guard,Action Crime Drama Thriller,1995,Thriller,Drama,112744,27526,https://movielens.org/movies/78,http://www.imdb.com/title/tt0112744/,https://www.themoviedb.org/movie/27526,3.33,
79,The Juror,Drama Thriller,1996,Thriller,Drama,116731,9623,https://movielens.org/movies/79,http://www.imdb.com/title/tt0116731/,https://www.themoviedb.org/movie/9623,2.76,
80,"White Balloon, The (Badkonake sefid)",Children Drama,1995,Drama,Children,112445,46785,https://movielens.org/movies/80,http://www.imdb.com/title/tt0112445/,https://www.themoviedb.org/movie/46785,4.0,
81,Things to Do in Denver When You're Dead,Crime Drama Romance,1995,Romance,Drama,114660,400,https://movielens.org/movies/81,http://www.imdb.com/title/tt0114660/,https://www.themoviedb.org/movie/400,3.11,
82,Antonia's Line (Antonia),Comedy Drama,1995,Drama,Comedy,112379,880,https://movielens.org/movies/82,http://www.imdb.com/title/tt0112379/,https://www.themoviedb.org/movie/880,3.88,
83,Once Upon a Time... When We Were Colored,Drama Romance,1995,Romance,Drama,114039,146599,https://movielens.org/movies/83,http://www.imdb.com/title/tt0114039/,https://www.themoviedb.org/movie/146599,3.0,
85,Angels and Insects,Drama Romance,1995,Romance,Drama,112365,8447,https://movielens.org/movies/85,http://www.imdb.com/title/tt0112365/,https://www.themoviedb.org/movie/8447,3.86,
86,White Squall,Action Adventure Drama,1996,Drama,Adventure,118158,10534,https://movielens.org/movies/86,http://www.imdb.com/title/tt0118158/,https://www.themoviedb.org/movie/10534,3.97,
87,Dunston Checks In,Children Comedy,1996,Comedy,Children,116151,17414,https://movielens.org/movies/87,http://www.imdb.com/title/tt0116151/,https://www.themoviedb.org/movie/17414,2.5,
88,Black Sheep,Comedy,1996,Comedy,N/A,115697,13997,https://movielens.org/movies/88,http://www.imdb.com/title/tt0115697/,https://www.themoviedb.org/movie/13997,3.16,
89,Nick of Time,Action Thriller,1995,Thriller,Action,113972,2086,https://movielens.org/movies/89,http://www.imdb.com/title/tt0113972/,https://www.themoviedb.org/movie/2086,3.25,
92,Mary Reilly,Drama Horror Thriller,1996,Thriller,Horror,117002,9095,https://movielens.org/movies/92,http://www.imdb.com/title/tt0117002/,https://www.themoviedb.org/movie/9095,2.62,Jekyll and Hyde
93,Vampire in Brooklyn,Comedy Horror Romance,1995,Romance,Horror,114825,12158,https://movielens.org/movies/93,http://www.imdb.com/title/tt0114825/,https://www.themoviedb.org/movie/12158,2.83,
94,Beautiful Girls,Comedy Drama Romance,1996,Romance,Drama,115639,9283,https://movielens.org/movies/94,http://www.imdb.com/title/tt0115639/,https://www.themoviedb.org/movie/9283,3.95,
95,Broken Arrow,Action Adventure Thriller,1996,Thriller,Adventure,115759,9208,https://movielens.org/movies/95,http://www.imdb.com/title/tt0115759/,https://www.themoviedb.org/movie/9208,3.02,
96,In the Bleak Midwinter,Comedy Drama,1995,Drama,Comedy,113403,40154,https://movielens.org/movies/96,http://www.imdb.com/title/tt0113403/,https://www.themoviedb.org/movie/40154,3.5,theater
97,"Hate (Haine, La)",Crime Drama,1995,Drama,Crime,113247,406,https://movielens.org/movies/97,http://www.imdb.com/title/tt0113247/,https://www.themoviedb.org/movie/406,3.9,
99,Heidi Fleiss: Hollywood Madam,Documentary,1995,Documentary,N/A,113283,63076,https://movielens.org/movies/99,http://www.imdb.com/title/tt0113283/,https://www.themoviedb.org/movie/63076,5.0,
100,City Hall,Drama Thriller,1996,Thriller,Drama,115907,11062,https://movielens.org/movies/100,http://www.imdb.com/title/tt0115907/,https://www.themoviedb.org/movie/11062,2.79,
101,Bottle Rocket,Adventure Comedy Crime Romance,1996,Romance,Crime,115734,13685,https://movielens.org/movies/101,http://www.imdb.com/title/tt0115734/,https://www.themoviedb.org/movie/13685,3.78,crime off-beat comedy quirky
102,Mr. Wrong,Comedy,1996,Comedy,N/A,117102,47475,https://movielens.org/movies/102,http://www.imdb.com/title/tt0117102/,https://www.themoviedb.org/movie/47475,2.4,
103,Unforgettable,Mystery Sci-Fi Thriller,1996,Thriller,Sci-Fi,118040,2045,https://movielens.org/movies/103,http://www.imdb.com/title/tt0118040/,https://www.themoviedb.org/movie/2045,3.0,
104,Happy Gilmore,Comedy,1996,Comedy,N/A,116483,9614,https://movielens.org/movies/104,http://www.imdb.com/title/tt0116483/,https://www.themoviedb.org/movie/9614,3.44,test tag golf Adam Sandler
105,The Bridges of Madison County,Drama Romance,1995,Romance,Drama,112579,688,https://movielens.org/movies/105,http://www.imdb.com/title/tt0112579/,https://www.themoviedb.org/movie/688,3.28,
106,Nobody Loves Me (Keiner liebt mich),Comedy Drama,1994,Drama,Comedy,110251,11907,https://movielens.org/movies/106,http://www.imdb.com/title/tt0110251/,https://www.themoviedb.org/movie/11907,4.0,
107,Muppet Treasure Island,Adventure Children Comedy Musical,1996,Musical,Comedy,117110,10874,https://movielens.org/movies/107,http://www.imdb.com/title/tt0117110/,https://www.themoviedb.org/movie/10874,3.33,muppets
108,Catwalk,Documentary,1996,Documentary,N/A,112646,89333,https://movielens.org/movies/108,http://www.imdb.com/title/tt0112646/,https://www.themoviedb.org/movie/89333,4.0,
110,Braveheart,Action Drama War,1995,War,Drama,112573,197,https://movielens.org/movies/110,http://www.imdb.com/title/tt0112573/,https://www.themoviedb.org/movie/197,4.03,beautiful scenery epic historical inspirational Medieval mel gibson Oscar (Best Cinematography) revenge sword fight Scotland
111,Taxi Driver,Crime Drama Thriller,1976,Thriller,Drama,75314,103,https://movielens.org/movies/111,http://www.imdb.com/title/tt0075314/,https://www.themoviedb.org/movie/103,4.11,assassination
112,Rumble in the Bronx (Hont faan kui),Action Adventure Comedy Crime,1995,Crime,Comedy,113326,33542,https://movielens.org/movies/112,http://www.imdb.com/title/tt0113326/,https://www.themoviedb.org/movie/33542,3.54,
113,Before and After,Drama Mystery,1996,Mystery,Drama,115645,43566,https://movielens.org/movies/113,http://www.imdb.com/title/tt0115645/,https://www.themoviedb.org/movie/43566,3.33,
116,Anne Frank Remembered,Documentary,1995,Documentary,N/A,112373,51352,https://movielens.org/movies/116,http://www.imdb.com/title/tt0112373/,https://www.themoviedb.org/movie/51352,3.9,Holocaust
117,The Young Poisoner's Handbook,Crime Drama,1995,Drama,Crime,115033,16934,https://movielens.org/movies/117,http://www.imdb.com/title/tt0115033/,https://www.themoviedb.org/movie/16934,3.0,
118,If Lucy Fell,Comedy Romance,1996,Romance,Comedy,116606,10324,https://movielens.org/movies/118,http://www.imdb.com/title/tt0116606/,https://www.themoviedb.org/movie/10324,2.5,
119,"Steal Big, Steal Little",Comedy,1995,Comedy,N/A,114536,78406,https://movielens.org/movies/119,http://www.imdb.com/title/tt0114536/,https://www.themoviedb.org/movie/78406,3.0,
121,The Boys of St. Vincent,Drama,1992,Drama,N/A,106473,32119,https://movielens.org/movies/121,http://www.imdb.com/title/tt0106473/,https://www.themoviedb.org/movie/32119,4.0,
122,Boomerang,Comedy Romance,1992,Romance,Comedy,103859,11066,https://movielens.org/movies/122,http://www.imdb.com/title/tt0103859/,https://www.themoviedb.org/movie/11066,2.66,dating
123,Chungking Express (Chung Hing sam lam),Drama Mystery Romance,1994,Romance,Mystery,109424,11104,https://movielens.org/movies/123,http://www.imdb.com/title/tt0109424/,https://www.themoviedb.org/movie/11104,4.38,
125,Flirting With Disaster,Comedy,1996,Comedy,N/A,116324,2074,https://movielens.org/movies/125,http://www.imdb.com/title/tt0116324/,https://www.themoviedb.org/movie/2074,3.58,
126,The NeverEnding Story III,Adventure Children Fantasy,1994,Fantasy,Children,110647,27793,https://movielens.org/movies/126,http://www.imdb.com/title/tt0110647/,https://www.themoviedb.org/movie/27793,2.0,
128,Jupiter's Wife,Documentary,1994,Documentary,N/A,110217,290157,https://movielens.org/movies/128,http://www.imdb.com/title/tt0110217/,https://www.themoviedb.org/movie/290157,3.0,
129,Pie in the Sky,Comedy Romance,1996,Romance,Comedy,114131,110972,https://movielens.org/movies/129,http://www.imdb.com/title/tt0114131/,https://www.themoviedb.org/movie/110972,2.0,
132,Jade,Thriller,1995,Thriller,N/A,113451,11863,https://movielens.org/movies/132,http://www.imdb.com/title/tt0113451/,https://www.themoviedb.org/movie/11863,2.83,
135,Down Periscope,Comedy,1996,Comedy,N/A,116130,9101,https://movielens.org/movies/135,http://www.imdb.com/title/tt0116130/,https://www.themoviedb.org/movie/9101,2.95,
137,Man of the Year,Documentary,1995,Documentary,N/A,113756,5757,https://movielens.org/movies/137,http://www.imdb.com/title/tt0113756/,https://www.themoviedb.org/movie/5757,3.0,
140,Up Close and Personal,Drama Romance,1996,Romance,Drama,118055,9302,https://movielens.org/movies/140,http://www.imdb.com/title/tt0118055/,https://www.themoviedb.org/movie/9302,3.5,journalism
141,The Birdcage,Comedy,1996,Comedy,N/A,115685,11000,https://movielens.org/movies/141,http://www.imdb.com/title/tt0115685/,https://www.themoviedb.org/movie/11000,3.49,
144,The Brothers McMullen,Comedy,1995,Comedy,N/A,112585,16388,https://movielens.org/movies/144,http://www.imdb.com/title/tt0112585/,https://www.themoviedb.org/movie/16388,3.33,
145,Bad Boys,Action Comedy Crime Drama Thriller,1995,Thriller,Drama,112442,9737,https://movielens.org/movies/145,http://www.imdb.com/title/tt0112442/,https://www.themoviedb.org/movie/9737,3.25,
146,The Amazing Panda Adventure,Adventure Children,1995,Children,Adventure,112342,30765,https://movielens.org/movies/146,http://www.imdb.com/title/tt0112342/,https://www.themoviedb.org/movie/30765,3.33,
147,The Basketball Diaries,Drama,1995,Drama,N/A,112461,10474,https://movielens.org/movies/147,http://www.imdb.com/title/tt0112461/,https://www.themoviedb.org/movie/10474,3.47,addiction heroin Leonardo DiCaprio Mark Wahlberg
148,An Awfully Big Adventure,Drama,1995,Drama,N/A,112427,22279,https://movielens.org/movies/148,http://www.imdb.com/title/tt0112427/,https://www.themoviedb.org/movie/22279,5.0,
149,Amateur,Crime Drama Thriller,1994,Thriller,Drama,109093,30157,https://movielens.org/movies/149,http://www.imdb.com/title/tt0109093/,https://www.themoviedb.org/movie/30157,2.0,
150,Apollo 13,Adventure Drama IMAX,1995,IMAX,Drama,112384,568,https://movielens.org/movies/150,http://www.imdb.com/title/tt0112384/,https://www.themoviedb.org/movie/568,3.85,moon NASA space
151,Rob Roy,Action Drama Romance War,1995,War,Romance,114287,11780,https://movielens.org/movies/151,http://www.imdb.com/title/tt0114287/,https://www.themoviedb.org/movie/11780,3.55,
152,The Addiction,Drama Horror,1995,Horror,Drama,112288,34996,https://movielens.org/movies/152,http://www.imdb.com/title/tt0112288/,https://www.themoviedb.org/movie/34996,1.5,
153,Batman Forever,Action Adventure Comedy Crime,1995,Crime,Comedy,112462,414,https://movielens.org/movies/153,http://www.imdb.com/title/tt0112462/,https://www.themoviedb.org/movie/414,2.92,superhero
154,Beauty of the Day (Belle de jour),Drama,1967,Drama,N/A,61395,649,https://movielens.org/movies/154,http://www.imdb.com/title/tt0061395/,https://www.themoviedb.org/movie/649,3.88,
155,Beyond Rangoon,Adventure Drama War,1995,War,Drama,112495,1873,https://movielens.org/movies/155,http://www.imdb.com/title/tt0112495/,https://www.themoviedb.org/movie/1873,2.42,
156,Blue in the Face,Comedy Drama,1995,Drama,Comedy,112541,5894,https://movielens.org/movies/156,http://www.imdb.com/title/tt0112541/,https://www.themoviedb.org/movie/5894,3.33,
157,Canadian Bacon,Comedy War,1995,War,Comedy,109370,1775,https://movielens.org/movies/157,http://www.imdb.com/title/tt0109370/,https://www.themoviedb.org/movie/1775,2.86,
158,Casper,Adventure Children,1995,Children,Adventure,112642,8839,https://movielens.org/movies/158,http://www.imdb.com/title/tt0112642/,https://www.themoviedb.org/movie/8839,2.81,
159,Clockers,Crime Drama Mystery,1995,Mystery,Drama,112688,20649,https://movielens.org/movies/159,http://www.imdb.com/title/tt0112688/,https://www.themoviedb.org/movie/20649,2.89,
160,Congo,Action Adventure Mystery Sci-Fi,1995,Sci-Fi,Mystery,112715,10329,https://movielens.org/movies/160,http://www.imdb.com/title/tt0112715/,https://www.themoviedb.org/movie/10329,2.88,Michael Crichton
161,Crimson Tide,Drama Thriller War,1995,War,Thriller,112740,8963,https://movielens.org/movies/161,http://www.imdb.com/title/tt0112740/,https://www.themoviedb.org/movie/8963,3.64,submarine
162,Crumb,Documentary,1994,Documentary,N/A,109508,26564,https://movielens.org/movies/162,http://www.imdb.com/title/tt0109508/,https://www.themoviedb.org/movie/26564,4.21,In Netflix queue
163,Desperado,Action Romance Western,1995,Western,Romance,112851,8068,https://movielens.org/movies/163,http://www.imdb.com/title/tt0112851/,https://www.themoviedb.org/movie/8068,3.56,
164,Devil in a Blue Dress,Crime Film-Noir Mystery Thriller,1995,Thriller,Mystery,112857,8512,https://movielens.org/movies/164,http://www.imdb.com/title/tt0112857/,https://www.themoviedb.org/movie/8512,3.32,
165,Die Hard: With a Vengeance,Action Crime Thriller,1995,Thriller,Crime,112864,1572,https://movielens.org/movies/165,http://www.imdb.com/title/tt0112864/,https://www.themoviedb.org/movie/1572,3.56,
166,The Doom Generation,Comedy Crime Drama,1995,Drama,Crime,112887,13552,https://movielens.org/movies/166,http://www.imdb.com/title/tt0112887/,https://www.themoviedb.org/movie/13552,2.83,
168,First Knight,Action Drama Romance,1995,Romance,Drama,113071,6520,https://movielens.org/movies/168,http://www.imdb.com/title/tt0113071/,https://www.themoviedb.org/movie/6520,3.08,
169,Free Willy 2: The Adventure Home,Adventure Children Drama,1995,Drama,Children,113114,9073,https://movielens.org/movies/169,http://www.imdb.com/title/tt0113114/,https://www.themoviedb.org/movie/9073,2.4,
170,Hackers,Action Adventure Crime Thriller,1995,Thriller,Crime,113243,10428,https://movielens.org/movies/170,http://www.imdb.com/title/tt0113243/,https://www.themoviedb.org/movie/10428,3.23,
171,Jeffrey,Comedy Drama,1995,Drama,Comedy,113464,17447,https://movielens.org/movies/171,http://www.imdb.com/title/tt0113464/,https://www.themoviedb.org/movie/17447,3.83,
172,Johnny Mnemonic,Action Sci-Fi Thriller,1995,Thriller,Sci-Fi,113481,9886,https://movielens.org/movies/172,http://www.imdb.com/title/tt0113481/,https://www.themoviedb.org/movie/9886,2.68,
